CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Churn,Customer_Lifetime_Value,Average_Monthly_Value,Tenure_Group,Charge_Per_Tenure_Month,Total_Charges_Per_Month
C00001,6,64,1540,One year,Credit Card,No,1,0,384,64,New,10.666666666666666,256.6666666666667
C00002,21,113,1753,Month-to-month,Electronic Check,Yes,1,0,2373,113,Developing,5.380952380952381,83.47619047619048
C00003,27,31,1455,Two year,Credit Card,No,1,0,837,31,Established,1.1481481481481481,53.888888888888886
C00004,53,29,7150,Month-to-month,Electronic Check,No,1,0,1537,29,Loyal,0.5471698113207547,134.9056603773585
C00005,16,185,1023,One year,Electronic Check,No,1,0,2960,185,Developing,11.5625,63.9375
C00006,55,44,7538,Two year,Electronic Check,No,0,0,2420,44,Loyal,0.8,137.05454545454546
C00007,66,99,4178,Two year,Bank Transfer,No,1,0,6534,99,Loyal,1.5,63.303030303030305
C00008,61,128,3088,Month-to-month,Bank Transfer,No,1,0,7808,128,Loyal,2.098360655737705,50.622950819672134
C00009,64,124,7973,Month-to-month,Credit Card,No,1,0,7936,124,Loyal,1.9375,124.578125
C00010,14,120,5844,One year,Bank Transfer,Yes,1,0,1680,120,Developing,8.571428571428571,417.42857142857144
C00011,59,57,5168,One year,Credit Card,Yes,0,0,3363,57,Loyal,0.9661016949152542,87.59322033898304
C00012,7,110,7282,Month-to-month,Electronic Check,No,1,1,770,110,New,15.714285714285714,1040.2857142857142
C00013,53,86,3438,Month-to-month,Bank Transfer,Yes,1,0,4558,86,Loyal,1.6226415094339623,64.86792452830188
C00014,8,158,6194,Month-to-month,Credit Card,No,1,1,1264,158,New,19.75,774.25
C00015,53,58,768,Month-to-month,Credit Card,Yes,1,0,3074,58,Loyal,1.0943396226415094,14.49056603773585
C00016,65,77,4071,Month-to-month,Credit Card,Yes,1,0,5005,77,Loyal,1.1846153846153846,62.63076923076923
C00017,19,187,4874,Two year,Credit Card,No,0,0,3553,187,Developing,9.842105263157896,256.5263157894737
C00018,42,101,3736,One year,Bank Transfer,Yes,0,0,4242,101,Established,2.4047619047619047,88.95238095238095
C00019,7,156,5389,One year,Bank Transfer,Yes,0,1,1092,156,New,22.285714285714285,769.8571428571429
C00020,26,105,6868,Month-to-month,Bank Transfer,Yes,1,0,2730,105,Established,4.038461538461538,264.15384615384613
C00021,38,137,1000,Month-to-month,Electronic Check,No,1,0,5206,137,Established,3.6052631578947367,26.31578947368421
C00022,25,120,4855,Two year,Credit Card,Yes,0,0,3000,120,Established,4.8,194.2
C00023,60,40,1755,One year,Credit Card,No,1,0,2400,40,Loyal,0.6666666666666666,29.25
C00024,30,100,3710,Two year,Credit Card,No,1,0,3000,100,Established,3.3333333333333335,123.66666666666667
C00025,25,193,7565,Month-to-month,Bank Transfer,No,0,0,4825,193,Established,7.72,302.6
C00026,47,181,3295,One year,Credit Card,No,1,0,8507,181,Established,3.851063829787234,70.1063829787234
C00027,60,101,3741,Month-to-month,Bank Transfer,No,1,0,6060,101,Loyal,1.6833333333333333,62.35
C00028,20,56,3950,One year,Bank Transfer,No,1,0,1120,56,Developing,2.8,197.5
C00029,36,175,3682,One year,Bank Transfer,No,0,0,6300,175,Established,4.861111111111111,102.27777777777777
C00030,34,190,7540,One year,Bank Transfer,No,1,0,6460,190,Established,5.588235294117647,221.76470588235293
C00031,28,101,4643,One year,Electronic Check,Yes,1,0,2828,101,Established,3.607142857142857,165.82142857142858
C00032,10,196,4825,Month-to-month,Credit Card,Yes,0,1,1960,196,New,19.6,482.5
C00033,43,182,7129,One year,Electronic Check,Yes,0,0,7826,182,Established,4.232558139534884,165.7906976744186
C00034,32,195,7139,One year,Bank Transfer,Yes,1,0,6240,195,Established,6.09375,223.09375
C00035,60,44,1302,One year,Credit Card,No,1,0,2640,44,Loyal,0.7333333333333333,21.7
C00036,50,116,690,Month-to-month,Credit Card,No,1,0,5800,116,Loyal,2.32,13.8
C00037,37,42,947,Month-to-month,Electronic Check,No,0,0,1554,42,Established,1.135135135135135,25.594594594594593
C00038,62,166,6225,Two year,Electronic Check,Yes,1,0,10292,166,Loyal,2.6774193548387095,100.40322580645162
