CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,CustomerID_Ordinal
C00001,6,64,1540,One year,Credit Card,No,1,0
C00002,21,113,1753,Month-to-month,Electronic Check,Yes,1,1
C00003,27,31,1455,Two year,Credit Card,No,1,2
C00004,53,29,7150,Month-to-month,Electronic Check,No,1,3
C00005,16,185,1023,One year,Electronic Check,No,1,4
C00006,55,44,7538,Two year,Electronic Check,No,0,5
C00007,66,99,4178,Two year,Bank Transfer,No,1,6
C00008,61,128,3088,Month-to-month,Bank Transfer,No,1,7
C00009,64,124,7973,Month-to-month,Credit Card,No,1,8
C00010,14,120,5844,One year,Bank Transfer,Yes,1,9
C00011,59,57,5168,One year,Credit Card,Yes,0,10
C00012,7,110,7282,Month-to-month,Electronic Check,No,1,11
C00013,53,86,3438,Month-to-month,Bank Transfer,Yes,1,12
C00014,8,158,6194,Month-to-month,Credit Card,No,1,13
C00015,53,58,768,Month-to-month,Credit Card,Yes,1,14
C00016,65,77,4071,Month-to-month,Credit Card,Yes,1,15
C00017,19,187,4874,Two year,Credit Card,No,0,16
C00018,42,101,3736,One year,Bank Transfer,Yes,0,17
C00019,7,156,5389,One year,Bank Transfer,Yes,0,18
C00020,26,105,6868,Month-to-month,Bank Transfer,Yes,1,19
C00021,38,137,1000,Month-to-month,Electronic Check,No,1,20
C00022,25,120,4855,Two year,Credit Card,Yes,0,21
C00023,60,40,1755,One year,Credit Card,No,1,22
C00024,30,100,3710,Two year,Credit Card,No,1,23
C00025,25,193,7565,Month-to-month,Bank Transfer,No,0,24
C00026,47,181,3295,One year,Credit Card,No,1,25
C00027,60,101,3741,Month-to-month,Bank Transfer,No,1,26
C00028,20,56,3950,One year,Bank Transfer,No,1,27
C00029,36,175,3682,One year,Bank Transfer,No,0,28
C00030,34,190,7540,One year,Bank Transfer,No,1,29
C00031,28,101,4643,One year,Electronic Check,Yes,1,30
C00032,10,196,4825,Month-to-month,Credit Card,Yes,0,31
C00033,43,182,7129,One year,Electronic Check,Yes,0,32
C00034,32,195,7139,One year,Bank Transfer,Yes,1,33
C00035,60,44,1302,One year,Credit Card,No,1,34
C00036,50,116,690,Month-to-month,Credit Card,No,1,35
C00037,37,42,947,Month-to-month,Electronic Check,No,0,36
C00038,62,166,6225,Two year,Electronic Check,Yes,1,37
C00039,50,84,858,Month-to-month,Credit Card,No,0,38
C00040,26,151,1952,Two year,Electronic Check,No,0,39
C00041,42,20,1950,Two year,Credit Card,Yes,1,40
C00042,7,148,2701,Two year,Credit Card,Yes,0,41
C00043,63,89,6547,One year,Electronic Check,Yes,0,42
C00044,42,123,3913,Month-to-month,Credit Card,No,1,43
C00045,34,93,3344,Two year,Credit Card,Yes,0,44
C00046,32,170,4773,Two year,Credit Card,No,1,45
C00047,22,46,7555,Month-to-month,Bank Transfer,No,1,46
C00048,37,162,3735,Month-to-month,Electronic Check,Yes,1,47
C00049,56,49,3376,Month-to-month,Bank Transfer,No,0,48
C00050,49,121,5161,One year,Bank Transfer,Yes,0,49
C00051,71,172,416,Month-to-month,Electronic Check,No,1,50
C00052,31,154,7537,Two year,Credit Card,Yes,1,51
C00053,53,48,1497,One year,Credit Card,No,0,52
C00054,49,68,2615,Month-to-month,Bank Transfer,Yes,1,53
C00055,9,157,7022,Month-to-month,Bank Transfer,No,0,54
C00056,47,54,6827,Two year,Bank Transfer,Yes,0,55
C00057,58,121,3537,One year,Credit Card,No,1,56
C00058,59,72,7053,Month-to-month,Bank Transfer,Yes,0,57
C00059,36,38,3792,One year,Bank Transfer,Yes,1,58
C00060,26,182,7074,Month-to-month,Credit Card,No,0,59
C00061,23,187,5608,Month-to-month,Electronic Check,No,1,60
C00062,10,195,4284,Two year,Electronic Check,No,0,61
C00063,53,128,5803,One year,Bank Transfer,No,0,62
C00064,25,176,4496,One year,Bank Transfer,No,1,63
C00065,65,180,4142,One year,Credit Card,Yes,0,64
C00066,3,140,2541,One year,Electronic Check,No,1,65
C00067,53,61,3631,One year,Bank Transfer,No,0,66
C00068,62,62,3016,Two year,Credit Card,Yes,0,67
C00069,2,102,1333,Two year,Credit Card,Yes,0,68
C00070,53,21,6828,One year,Credit Card,No,0,69
C00071,69,153,1418,Month-to-month,Electronic Check,No,0,70
C00072,68,153,1930,One year,Electronic Check,Yes,0,71
C00073,13,125,3696,Two year,Credit Card,No,1,72
C00074,2,152,2038,Month-to-month,Bank Transfer,No,0,73
C00075,70,77,7593,Two year,Electronic Check,Yes,0,74
C00076,35,170,936,One year,Bank Transfer,Yes,0,75
C00077,4,43,7302,Month-to-month,Credit Card,Yes,0,76
C00078,41,109,7937,Two year,Bank Transfer,Yes,1,77
C00079,8,95,3792,One year,Bank Transfer,Yes,1,78
C00080,47,138,6406,Two year,Credit Card,Yes,0,79
C00081,35,139,5211,Two year,Bank Transfer,No,0,80
C00082,30,162,3917,One year,Credit Card,No,0,81
C00083,27,142,1908,Two year,Bank Transfer,No,1,82
C00084,50,141,4412,Month-to-month,Credit Card,No,0,83
C00085,51,136,4725,Two year,Bank Transfer,Yes,1,84
C00086,63,29,7685,Two year,Credit Card,Yes,1,85
C00087,43,103,2856,One year,Electronic Check,No,1,86
C00088,40,108,2650,One year,Electronic Check,No,1,87
C00089,41,177,4075,One year,Bank Transfer,Yes,0,88
C00090,21,126,7735,One year,Credit Card,Yes,0,89
C00091,3,188,2422,Two year,Credit Card,No,1,90
C00092,42,122,1294,Two year,Bank Transfer,No,0,91
C00093,18,29,7469,Month-to-month,Electronic Check,Yes,0,92
C00094,55,193,4344,Two year,Bank Transfer,No,1,93
C00095,21,140,3171,One year,Electronic Check,No,1,94
C00096,20,150,1780,Month-to-month,Electronic Check,Yes,0,95
C00097,15,40,510,Month-to-month,Bank Transfer,No,0,96
C00098,42,172,1168,Month-to-month,Bank Transfer,No,1,97
C00099,10,143,3353,Two year,Electronic Check,No,1,98
C00100,39,84,7566,One year,Electronic Check,No,1,99
C00101,66,170,1059,Month-to-month,Electronic Check,No,1,100
C00102,50,130,1087,One year,Electronic Check,Yes,1,101
C00103,44,78,6369,One year,Bank Transfer,Yes,1,102
C00104,7,39,6651,One year,Electronic Check,Yes,1,103
C00105,3,115,5547,Two year,Bank Transfer,No,0,104
C00106,21,75,7026,Two year,Bank Transfer,Yes,1,105
C00107,3,59,7111,Month-to-month,Credit Card,Yes,1,106
C00108,18,56,7925,One year,Electronic Check,No,0,107
C00109,48,152,4042,One year,Electronic Check,Yes,1,108
C00110,32,24,2939,Two year,Electronic Check,Yes,1,109
C00111,41,88,3461,One year,Bank Transfer,Yes,1,110
C00112,55,87,3353,Two year,Credit Card,No,1,111
C00113,15,102,1746,Month-to-month,Credit Card,No,1,112
C00114,31,111,2539,Month-to-month,Credit Card,No,0,113
C00115,33,160,2315,One year,Bank Transfer,No,0,114
C00116,70,164,5320,One year,Credit Card,No,0,115
C00117,14,187,2225,Two year,Electronic Check,Yes,0,116
C00118,35,98,4023,Two year,Bank Transfer,Yes,0,117
C00119,56,83,562,Month-to-month,Bank Transfer,Yes,0,118
C00120,62,75,2451,One year,Credit Card,No,0,119
C00121,30,107,6906,One year,Credit Card,Yes,1,120
C00122,15,147,2687,One year,Electronic Check,No,0,121
C00123,41,114,2419,Two year,Bank Transfer,No,1,122
C00124,27,50,2751,Two year,Electronic Check,Yes,1,123
C00125,4,177,950,Month-to-month,Credit Card,Yes,0,124
C00126,62,183,7208,Two year,Electronic Check,Yes,1,125
C00127,31,62,5887,One year,Bank Transfer,No,1,126
C00128,13,137,7128,One year,Bank Transfer,Yes,0,127
C00129,20,179,2692,Month-to-month,Bank Transfer,Yes,1,128
C00130,8,174,3979,Two year,Credit Card,Yes,0,129
C00131,2,125,7858,Month-to-month,Electronic Check,No,1,130
C00132,3,79,891,Month-to-month,Credit Card,No,1,131
C00133,48,92,5908,Two year,Bank Transfer,Yes,0,132
C00134,15,28,6569,Month-to-month,Credit Card,No,1,133
C00135,64,101,5706,Month-to-month,Bank Transfer,Yes,1,134
C00136,52,152,4318,Two year,Bank Transfer,Yes,0,135
C00137,10,134,4476,Month-to-month,Electronic Check,No,0,136
C00138,30,188,4095,Two year,Electronic Check,Yes,0,137
C00139,27,67,3567,Month-to-month,Credit Card,Yes,1,138
C00140,2,184,5021,One year,Electronic Check,Yes,1,139
C00141,46,112,6817,Two year,Electronic Check,No,0,140
C00142,11,115,1713,Two year,Bank Transfer,Yes,1,141
C00143,64,167,3677,Month-to-month,Bank Transfer,No,0,142
C00144,65,47,5540,One year,Bank Transfer,Yes,1,143
C00145,21,173,7651,Two year,Bank Transfer,Yes,0,144
C00146,29,42,2058,One year,Credit Card,No,1,145
