Feature,F_Score,Selected
categorical__Tenure_Group_New,581.5775,True
numeric__Charge_Per_Tenure_Month,158.93762713168763,True
numeric__Tenure,142.45775213811118,True
numeric__Total_Charges_Per_Month,99.27585517596073,True
numeric__Customer_Lifetime_Value,62.23061612322269,True
categorical__Contract_Month-to-month,29.47409596671018,True
categorical__Tenure_Group_Established,26.837614678899097,True
categorical__Tenure_Group_Loyal,25.298878923766807,True
categorical__Contract_One year,13.259746167223591,True
categorical__CustomerID_C00252,8.688048780487804,False
categorical__CustomerID_C00181,8.688048780487804,False
categorical__CustomerID_C00214,8.688048780487804,False
categorical__CustomerID_C00263,8.688048780487804,False
categorical__CustomerID_C00309,8.688048780487804,False
categorical__CustomerID_C00283,8.688048780487804,False
categorical__CustomerID_C00151,8.688048780487804,False
categorical__CustomerID_C00324,8.688048780487804,False
categorical__CustomerID_C00338,8.688048780487804,False
categorical__CustomerID_C00032,8.688048780487804,False
categorical__CustomerID_C00174,8.688048780487804,False
categorical__CustomerID_C00140,8.688048780487804,False
categorical__CustomerID_C00147,8.688048780487804,False
categorical__CustomerID_C00142,8.688048780487804,False
categorical__CustomerID_C00348,8.688048780487804,False
categorical__CustomerID_C00137,8.688048780487804,False
categorical__CustomerID_C00131,8.688048780487804,False
categorical__CustomerID_C00125,8.688048780487804,False
categorical__CustomerID_C00105,8.688048780487804,False
categorical__CustomerID_C00099,8.688048780487804,False
categorical__CustomerID_C00077,8.688048780487804,False
categorical__CustomerID_C00062,8.688048780487804,False
categorical__CustomerID_C00346,8.688048780487804,False
categorical__CustomerID_C00385,8.688048780487804,False
categorical__CustomerID_C00353,8.688048780487804,False
categorical__CustomerID_C00455,8.688048780487804,False
categorical__CustomerID_C00499,8.688048780487804,True
categorical__CustomerID_C00471,8.688048780487804,False
categorical__CustomerID_C00470,8.688048780487804,False
categorical__CustomerID_C00012,8.688048780487804,False
categorical__CustomerID_C00464,8.688048780487804,False
categorical__CustomerID_C00069,8.688048780487804,False
categorical__CustomerID_C00458,8.688048780487804,False
categorical__CustomerID_C00014,8.688048780487804,False
categorical__CustomerID_C00435,8.688048780487804,False
categorical__CustomerID_C00428,8.688048780487804,False
categorical__CustomerID_C00424,8.688048780487804,False
categorical__CustomerID_C00401,8.688048780487804,False
categorical__CustomerID_C00397,8.688048780487804,False
categorical__CustomerID_C00393,8.688048780487804,False
categorical__CustomerID_C00390,8.688048780487804,False
categorical__CustomerID_C00074,8.688048780487804,False
categorical__Tenure_Group_Developing,8.246187290969896,False
numeric__MonthlyCharges,4.7090192689445365,False
numeric__Average_Monthly_Value,4.7090192689445365,False
categorical__PaymentMethod_Bank Transfer,3.14313983077407,False
categorical__Contract_Two year,2.5755991160150185,False
categorical__PaymentMethod_Credit Card,1.3580916495596353,False
numeric__SeniorCitizen,0.5178493449199988,False
categorical__PaymentMethod_Electronic Check,0.3068132694726258,False
categorical__CustomerID_C00066,0.11705882352941178,False
categorical__CustomerID_C00359,0.11705882352941178,False
categorical__CustomerID_C00371,0.11705882352941178,False
categorical__CustomerID_C00370,0.11705882352941178,False
categorical__CustomerID_C00369,0.11705882352941178,False
categorical__CustomerID_C00367,0.11705882352941178,False
categorical__CustomerID_C00365,0.11705882352941178,False
categorical__CustomerID_C00364,0.11705882352941178,False
categorical__CustomerID_C00363,0.11705882352941178,False
categorical__CustomerID_C00361,0.11705882352941178,False
categorical__CustomerID_C00360,0.11705882352941178,False
categorical__CustomerID_C00358,0.11705882352941178,False
categorical__CustomerID_C00373,0.11705882352941178,False
categorical__CustomerID_C00357,0.11705882352941178,False
categorical__CustomerID_C00355,0.11705882352941178,False
categorical__CustomerID_C00354,0.11705882352941178,False
categorical__CustomerID_C00029,0.11705882352941178,False
categorical__CustomerID_C00352,0.11705882352941178,False
categorical__CustomerID_C00350,0.11705882352941178,False
categorical__CustomerID_C00030,0.11705882352941178,False
categorical__CustomerID_C00347,0.11705882352941178,False
categorical__CustomerID_C00372,0.11705882352941178,False
categorical__CustomerID_C00374,0.11705882352941178,False
categorical__CustomerID_C00345,0.11705882352941178,False
categorical__CustomerID_C00391,0.11705882352941178,False
categorical__CustomerID_C00399,0.11705882352941178,False
categorical__CustomerID_C00398,0.11705882352941178,False
categorical__CustomerID_C00023,0.11705882352941178,False
categorical__CustomerID_C00396,0.11705882352941178,False
categorical__CustomerID_C00395,0.11705882352941178,False
categorical__CustomerID_C00394,0.11705882352941178,False
categorical__CustomerID_C00026,0.11705882352941178,False
categorical__CustomerID_C00392,0.11705882352941178,False
categorical__CustomerID_C00027,0.11705882352941178,False
categorical__CustomerID_C00375,0.11705882352941178,False
categorical__CustomerID_C00388,0.11705882352941178,False
categorical__CustomerID_C00386,0.11705882352941178,False
categorical__CustomerID_C00028,0.11705882352941178,False
categorical__CustomerID_C00384,0.11705882352941178,False
categorical__CustomerID_C00380,0.11705882352941178,False
categorical__CustomerID_C00379,0.11705882352941178,False
categorical__CustomerID_C00378,0.11705882352941178,False
categorical__CustomerID_C00376,0.11705882352941178,False
categorical__CustomerID_C00031,0.11705882352941178,False
categorical__CustomerID_C00344,0.11705882352941178,False
categorical__CustomerID_C00022,0.11705882352941178,False
categorical__CustomerID_C00341,0.11705882352941178,False
categorical__CustomerID_C00314,0.11705882352941178,False
categorical__CustomerID_C00313,0.11705882352941178,False
categorical__CustomerID_C00312,0.11705882352941178,False
categorical__CustomerID_C00311,0.11705882352941178,False
categorical__CustomerID_C00310,0.11705882352941178,False
categorical__CustomerID_C00035,0.11705882352941178,False
categorical__CustomerID_C00308,0.11705882352941178,False
categorical__CustomerID_C00306,0.11705882352941178,False
categorical__CustomerID_C00305,0.11705882352941178,False
categorical__CustomerID_C00303,0.11705882352941178,False
categorical__CustomerID_C00302,0.11705882352941178,False
categorical__CustomerID_C00299,0.11705882352941178,False
categorical__CustomerID_C00298,0.11705882352941178,False
categorical__CustomerID_C00297,0.11705882352941178,False
categorical__CustomerID_C00296,0.11705882352941178,False
categorical__CustomerID_C00293,0.11705882352941178,False
categorical__CustomerID_C00292,0.11705882352941178,False
categorical__CustomerID_C00291,0.11705882352941178,False
categorical__CustomerID_C00289,0.11705882352941178,False
categorical__CustomerID_C00315,0.11705882352941178,False
categorical__CustomerID_C00316,0.11705882352941178,False
categorical__CustomerID_C00317,0.11705882352941178,False
categorical__CustomerID_C00330,0.11705882352941178,False
categorical__CustomerID_C00339,0.11705882352941178,False
categorical__CustomerID_C00033,0.11705882352941178,False
categorical__CustomerID_C00337,0.11705882352941178,False
categorical__CustomerID_C00335,0.11705882352941178,False
categorical__CustomerID_C00334,0.11705882352941178,False
categorical__CustomerID_C00333,0.11705882352941178,False
categorical__CustomerID_C00332,0.11705882352941178,False
categorical__CustomerID_C00331,0.11705882352941178,False
categorical__CustomerID_C00329,0.11705882352941178,False
categorical__CustomerID_C00318,0.11705882352941178,False
categorical__CustomerID_C00327,0.11705882352941178,False
categorical__CustomerID_C00325,0.11705882352941178,False
categorical__CustomerID_C00034,0.11705882352941178,False
categorical__CustomerID_C00323,0.11705882352941178,False
categorical__CustomerID_C00322,0.11705882352941178,False
categorical__CustomerID_C00321,0.11705882352941178,False
categorical__CustomerID_C00320,0.11705882352941178,False
categorical__CustomerID_C00319,0.11705882352941178,False
categorical__CustomerID_C00400,0.11705882352941178,False
categorical__CustomerID_C00403,0.11705882352941178,False
categorical__CustomerID_C00286,0.11705882352941178,False
categorical__CustomerID_C00404,0.11705882352941178,False
categorical__CustomerID_C00476,0.11705882352941178,False
categorical__CustomerID_C00475,0.11705882352941178,False
categorical__CustomerID_C00474,0.11705882352941178,False
categorical__CustomerID_C00472,0.11705882352941178,False
categorical__CustomerID_C00010,0.11705882352941178,False
categorical__CustomerID_C00011,0.11705882352941178,False
