,CustomerID,Tenure,MonthlyCharges,TotalCharges,Contract,PaymentMethod,PaperlessBilling,SeniorCitizen,Customer_Lifetime_Value,Average_Monthly_Value,Tenure_Group,Charge_Per_Tenure_Month,Total_Charges_Per_Month,Actual_Churn,Predicted_Churn,Churn_Probability,Risk_Level
129,C00130,8,174,3979,Two year,Credit Card,Yes,0,1392,174,New,21.75,497.375,1,1,0.861109409589722,High Risk
294,C00295,6,59,6657,Two year,Credit Card,No,0,354,59,New,9.833333333333334,1109.5,0,1,0.7053601333638047,High Risk
216,C00217,10,152,5250,Month-to-month,Credit Card,Yes,1,1520,152,New,15.2,525.0,1,1,0.9318952338592479,High Risk
198,C00199,3,63,1535,Two year,Electronic Check,No,0,189,63,New,21.0,511.6666666666667,0,1,0.7326581337156693,High Risk
18,C00019,7,156,5389,One year,Bank Transfer,Yes,0,1092,156,New,22.285714285714285,769.8571428571429,1,1,0.7757862270652542,High Risk
171,C00172,10,115,3717,One year,Electronic Check,Yes,0,1150,115,New,11.5,371.7,1,1,0.7870539929942559,High Risk
479,C00480,11,160,4666,Two year,Credit Card,No,0,1760,160,New,14.545454545454545,424.1818181818182,1,1,0.8029233725501252,High Risk
215,C00216,8,102,2161,One year,Bank Transfer,Yes,1,816,102,New,12.75,270.125,0,1,0.6151258128035453,High Risk
131,C00132,3,79,891,Month-to-month,Credit Card,No,1,237,79,New,26.333333333333332,297.0,1,1,0.814158130054862,High Risk
487,C00488,9,72,2417,Month-to-month,Electronic Check,Yes,1,648,72,New,8.0,268.55555555555554,1,1,0.7118063454973913,High Risk
270,C00271,8,160,7182,Month-to-month,Bank Transfer,No,1,1280,160,New,20.0,897.75,1,1,0.9215149289690029,High Risk
54,C00055,9,157,7022,Month-to-month,Bank Transfer,No,0,1413,157,New,17.444444444444443,780.2222222222222,1,1,0.9205486766473733,High Risk
361,C00362,5,134,3651,One year,Credit Card,Yes,1,670,134,New,26.8,730.2,1,1,0.8104762756662949,High Risk
106,C00107,3,59,7111,Month-to-month,Credit Card,Yes,1,177,59,New,19.666666666666668,2370.3333333333335,1,1,0.917996279276518,High Risk
455,C00456,1,30,6242,Two year,Bank Transfer,No,0,30,30,New,30.0,6242.0,0,1,0.6650927401320752,High Risk
